"Footing Width, B (m)",Footing Length L (m),"Footing Depth, Df (m)","Friction Angle, ?0","Average Effective Unit Weight, g (kN/m3)","Cohesion, c (kN/m2)","Effective Stress, q (/s) (kN/m2)","Ultimate Bearing Capacity, qu (kN/m2)"
0.6,1.2,0.3,34.9,9.85,0,2.955,270
0.6,1.2,0,37.7,10.2,0,0,200
0.6,1.2,0.3,37.7,10.2,0,3.06,570
0.6,1.2,0,44.8,10.85,0,0,860
0.6,1.2,0.3,44.8,10.85,0,3.255,1760
0.5,0.5,0,37.7,10.2,0,0,154
0.5,0.5,0,37.7,10.2,0,0,165
0.5,1,0,37.7,10.2,0,0,203
0.5,1,0,37.7,10.2,0,0,195
0.5,1.5,0,37.7,10.2,0,0,214
0.52,2.002,0,37.7,10.2,0,0,186
0.5,0.5,0.3,37.7,10.2,0,3.06,681
0.5,1,0.3,37.7,10.2,0,3.06,542
0.5,1,0.3,37.7,10.2,0,3.06,530
0.5,1.5,0.3,37.7,10.2,0,3.06,402
0.52,2.002,0.3,37.7,10.2,0,3.06,413
0.5,0.5,0,37,11.7,0,0,111
0.5,0.5,0,37,11.7,0,0,132
0.5,1,0,37,11.7,0,0,143
0.5,0.5,0.013,37,11.7,0,0.1521,137
0.5,2,0.029,37,11.7,0,0.3393,109
0.5,2,0.127,37,11.7,0,1.4859,187
0.5,0.5,0.3,37,11.7,0,3.51,406
0.5,0.5,0.3,37,11.7,0,3.51,446
0.5,2,0.3,37,11.7,0,3.51,322
0.5,1,0.5,37,11.7,0,5.85,565
0.5,2,0.5,37,11.7,0,5.85,425
0.5,0.5,0,44,12.41,0,0,782
0.5,2,0,44,12.41,0,0,797
0.5,0.5,0.3,44,12.41,0,3.723,1940
0.5,0.5,0.3,44,12.41,0,3.723,2266
0.5,1,0.5,44,12.41,0,6.205,2847
0.5,2,0.5,44,12.41,0,6.205,2033
0.5,2,0.49,42,12.27,0,6.0123,1492
0.5,0.5,0,37,11.77,0,0,123
0.5,1,0,37,11.77,0,0,134
0.5,0.5,0.3,37,11.77,0,3.531,370
0.5,1,0.5,37,11.77,0,5.885,464
0.5,2,0,40,12,0,0,461
0.5,2,0.5,40,12,0,6,1140
1,3,0.2,39,11.97,0,2.394,710
1,3,0,40,11.93,0,0,630
0.991,0.991,0.711,32,15.8,0,11.2338,1773.7
3.004,3.004,0.762,32,15.8,0,12.0396,1019.4
2.489,2.489,0.762,32,15.8,0,12.0396,1158
1.492,1.492,0.762,32,15.8,0,12.0396,1540
3.016,3.016,0.889,32,15.8,0,14.0462,1161.2
0.0585,0.348075,0.029,34,15.7,0,0.4553,58.5
0.0585,0.348075,0.058,34,15.7,0,0.9106,70.9
0.0585,0.348075,0.029,37,16.1,0,0.4669,82.5
0.0585,0.348075,0.058,37,16.1,0,0.9338,98.9
0.0585,0.348075,0.029,39.5,16.5,0,0.4785,121.5
0.0585,0.348075,0.058,39.5,16.5,0,0.957,142.9
0.0585,0.348075,0.029,41.5,16.8,0,0.4872,157.5
0.0585,0.348075,0.058,41.5,16.8,0,0.9744,184.9
0.0585,0.348075,0.029,42.5,17.1,0,0.4959,180.5
0.0585,0.348075,0.058,42.5,17.1,0,0.9918,211
0.094,0.564,0.047,34,15.7,0,0.7379,74.7
0.094,0.564,0.094,34,15.7,0,1.4758,91.5
0.094,0.564,0.047,37,16.1,0,0.7567,104.8
0.094,0.564,0.094,37,16.1,0,1.5134,127.5
0.094,0.564,0.047,39.5,16.5,0,0.7755,155.8
0.094,0.564,0.094,39.5,16.5,0,1.551,185.6
0.094,0.564,0.047,41.5,16.8,0,0.7896,206.8
0.094,0.564,0.094,41.5,16.8,0,1.5792,244.6
